"nom";"image";"description"
"Plaque Hydro";"https://www.pokemontrash.com/pokedex/images/items/splash-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Eau."
"Plaque Fantô";"https://www.pokemontrash.com/pokedex/images/items/spooky-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Spectre."
"Plaque Toxic";"https://www.pokemontrash.com/pokedex/images/items/toxic-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Poison."
"Plaque Flam";"https://www.pokemontrash.com/pokedex/images/items/flame-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Feu."
"Plaque Poing";"https://www.pokemontrash.com/pokedex/images/items/fist-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Combat."
"Plaque Fer";"https://www.pokemontrash.com/pokedex/images/items/iron-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Acier."
"Plaque Ombre";"https://www.pokemontrash.com/pokedex/images/items/dread-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Ténèbres."
"Piège vicieux de SIMCO";"NOUS SOMMES DÉCOUVERTS";
"Plaque Draco";"https://www.pokemontrash.com/pokedex/images/items/draco-plate.png";"Objet à tenir. Tablette en pierre
augmentant la puissance des capacités
de type Dragon."
"Orbe Platiné";"https://www.pokemontrash.com/pokedex/images/items/griseous-orb.png";"Mystérieux objet destiné à Giratina.
Améliore les capacités de type Dragon
et Spectre."
"Ballelumière";"https://www.pokemontrash.com/pokedex/images/items/light-ball.png";"Objet à faire tenir par Pikachu. Orbe
énigmatique qui monte son Attaque et
son Attaque Spéciale."
"Bâton";"https://www.pokemontrash.com/pokedex/images/items/stick.png";"Objet à faire tenir à Canarticho.
Poireau très long et solide qui
monte son taux de critiques."
"Écailleocéan";"https://www.pokemontrash.com/pokedex/images/items/deep-sea-scale.png";"Objet à faire tenir à Coquiperl.
Écaille de couleur rose montant
sa Défense Spéciale."
"Masse Os";"https://www.pokemontrash.com/pokedex/images/items/thick-club.png";"Objet à faire tenir à Osselait ou
Ossatueur. Os dur qui monte leur
Attaque."
"Poing Chance";"https://www.pokemontrash.com/pokedex/images/items/lucky-punch.png";"Objet à faire tenir à Leveinard. Paire
de gants montant son taux de critiques."
"Poudre Métal";"https://www.pokemontrash.com/pokedex/images/items/metal-powder.png";"Objet à faire tenir à Métamorph. Cette
poudre étrange, très fine mais
résistante, booste sa Défense."
"Module Cryo";"https://www.pokemontrash.com/pokedex/images/items/chill-drive.png";"Tenu par Genesect, ce module
change la capacité TechnoBuster
en une capacité de type Glace."
"Orbe Adamant";"https://www.pokemontrash.com/pokedex/images/items/adamant-orb.png";"Orbe très brillant destiné à Dialga.
Augmente la puissance des capacités
de type Dragon et Acier."
"Module Aqua";"https://www.pokemontrash.com/pokedex/images/items/douse-drive.png";"Tenu par Genesect, ce module
change la capacité TechnoBuster
en une capacité de type Eau."
"Module Choc";"https://www.pokemontrash.com/pokedex/images/items/shock-drive.png";"Tenu par Genesect, ce module
change la capacité TechnoBuster
en une capacité de type Électrik."
"Poudre Vite";"https://www.pokemontrash.com/pokedex/images/items/quick-powder.png";"Objet à faire tenir à Métamorph. Cette
poudre étrange, très fine mais
résistante, augmente sa Vitesse."
"Module Pyro";"https://www.pokemontrash.com/pokedex/images/items/burn-drive.png";"Tenu par Genesect, ce module
change la capacité TechnoBuster
en une capacité de type Feu."
"Rosée Âme";"https://www.pokemontrash.com/pokedex/images/items/soul-dew.png";"Orbe prodigieux à faire tenir à Latios
ou Latias qui monte leur Attaque
Spéciale et leur Défense Spéciale."
"Dent Océan";"https://www.pokemontrash.com/pokedex/images/items/deep-sea-tooth.png";"Objet à faire tenir à Coquiperl.
Dent de couleur argent montant
son Attaque Spéciale."
"Orbe Perlé";"https://www.pokemontrash.com/pokedex/images/items/lustrous-orb.png";"Bel orbe luisant destiné à Palkia.
Augmente la puissance des capacités
de type Dragon et Eau."
"Croc Dragon";"https://www.pokemontrash.com/pokedex/images/items/dragon-fang.png";"Objet à tenir. Croc dur et pointu
montant la puissance des capacités
de type Dragon."
"Mouch. Soie";"https://www.pokemontrash.com/pokedex/images/items/silk-scarf.png";"Objet à tenir. Mouchoir somptueux
montant la puissance des capacités
de type Normal."
"Encens Mer";"https://www.pokemontrash.com/pokedex/images/items/sea-incense.png";"Objet à tenir. Encens au parfum curieux
qui augmente la puissance des capacités
de type Eau."
"Encens Fleur";"https://www.pokemontrash.com/pokedex/images/items/rose-incense.png";"Objet à tenir. Encens au parfum
exotique augmentant la puissance
des capacités de type Plante."
"Grain Miracl";"https://www.pokemontrash.com/pokedex/images/items/miracle-seed.png";"Objet à tenir. Graine remplie de vie qui
monte la puissance des capacités de
type Plante."
"Encens Vague";"https://www.pokemontrash.com/pokedex/images/items/wave-incense.png";"Objet à tenir. Encens au parfum
exotique augmentant la puissance
des capacités de type Eau."
"Encens Roc";"https://www.pokemontrash.com/pokedex/images/items/rock-incense.png";"Objet à tenir. Encens au parfum
exotique augmentant la puissance
des capacités de type Roche."
"Bizar.Encens";"https://www.pokemontrash.com/pokedex/images/items/odd-incense.png";"Objet à tenir. Encens au parfum
exotique augmentant la puissance
des capacités de type Psy."
"Charbon";"https://www.pokemontrash.com/pokedex/images/items/charcoal.png";"Objet à tenir. Combustible montant la
puissance des capacités de type Feu."
"Cuillertordu";"https://www.pokemontrash.com/pokedex/images/items/twisted-spoon.png";"Objet à tenir. Cuillère contenant un
pouvoir télékinésique montant la
puissance des capacités de type Psy."
"Sable Doux";"https://www.pokemontrash.com/pokedex/images/items/soft-sand.png";"Objet à tenir. Sable fin et soyeux
montant la puissance des capacités
de type Sol."
"Pierre Dure";"https://www.pokemontrash.com/pokedex/images/items/hard-stone.png";"Objet à tenir. Pierre incassable qui
monte la puissance des capacités de
type Roche."
"Lunet.Noires";"https://www.pokemontrash.com/pokedex/images/items/black-glasses.png";"Objet à tenir. Paire de lunettes à
l’aspect louche qui monte la puissance
des capacités de type Ténèbres."
"Poudre Arg.";"https://www.pokemontrash.com/pokedex/images/items/silver-powder.png";"Objet à tenir. Poudre d’argent
brillante qui monte la puissance
des capacités de type Insecte."
"Ceint.Noire";"https://www.pokemontrash.com/pokedex/images/items/black-belt.png";"Objet à tenir. Ceinture qui augmente
la détermination et la puissance des
capacités de type Combat."
"Aimant";"https://www.pokemontrash.com/pokedex/images/items/magnet.png";"Objet à tenir. Aimant puissant montant
la puissance des capacités de type
Électrik."
"Eau Mystique";"https://www.pokemontrash.com/pokedex/images/items/mystic-water.png";"Objet à tenir. Gemme en forme de
goutte d’eau montant la puissance
des capacités de type Eau."
"Bec Pointu";"https://www.pokemontrash.com/pokedex/images/items/sharp-beak.png";"Objet à tenir. Bec long et pointu
montant la puissance des capacités
de type Vol."
"Peau Métal";"https://www.pokemontrash.com/pokedex/images/items/metal-coat.png";"Objet à tenir. Pellicule métallique
spéciale qui monte la puissance des
capacités de type Acier."
"Pic Venin";"https://www.pokemontrash.com/pokedex/images/items/poison-barb.png";"Objet à tenir. Petit pic empoisonné
montant la puissance des capacités
de type Poison."
"Rune Sort";"https://www.pokemontrash.com/pokedex/images/items/spell-tag.png";"Objet à tenir. Plaque sinistre et
étrange montant la puissance des
capacités de type Spectre."
"Glacéternel";"https://www.pokemontrash.com/pokedex/images/items/never-melt-ice.png";"Objet à tenir. Morceau de glace qui
réfléchit la chaleur et monte la
puissance des capacités de type Glace."
"Petit Champi";"https://www.pokemontrash.com/pokedex/images/items/tinymushroom.png";"Un petit champignon plutôt rare.
Il est plutôt populaire parmi
certains fans dévoués."
"Pépite";"https://www.pokemontrash.com/pokedex/images/items/nugget.png";"Pépite d’or pur qui brille
magnifiquement. Peut être vendue
à bon prix aux magasins."
"Morc. Étoile";"https://www.pokemontrash.com/pokedex/images/items/star-piece.png";"Fragment de gemme qui brille d’un éclat
rouge. Peut se vendre à bon prix aux
magasins."
"Jolie Aile";"https://www.pokemontrash.com/pokedex/images/items/pretty-wing.png";"Une plume très jolie, mais ordinaire
et sans effet particulier."
"Champi Suave";"https://www.pokemontrash.com/pokedex/images/items/balmmushroom.png";"Champignon rare qui répand un
agréable parfum autour de lui.
Les amateurs en donnent un bon prix."
"Grande Perle";"https://www.pokemontrash.com/pokedex/images/items/big-pearl.png";"Une grande perle qui brille d’une jolie
couleur argent. Peut être vendue à
bon prix aux magasins."
"Perle Triple";"https://www.pokemontrash.com/pokedex/images/items/pearl-string.png";"Une très grosse perle qui brille
d’une jolie couleur argent.
Les amateurs en donnent un bon prix."
"Morc. Comète";"https://www.pokemontrash.com/pokedex/images/items/comet-shard.png";"Un fragment de comète, tombé au sol
quand elle traversait l’atmosphère.
Les amateurs en donnent un bon prix."
"Vieux Sou";"https://www.pokemontrash.com/pokedex/images/items/relic-copper.png";"Une pièce de cuivre d’une civilisation
vieille de plus de 3 000 ans.
Les amateurs en donnent un bon prix."
"Vieil Écu";"https://www.pokemontrash.com/pokedex/images/items/relic-silver.png";"Une pièce d’argent d’une civilisation
vieille de plus de 3 000 ans.
Les amateurs en donnent un bon prix."
"Vieux Ducat";"https://www.pokemontrash.com/pokedex/images/items/relic-gold.png";"Une pièce d’or d’une civilisation
vieille de plus de 3 000 ans.
Les amateurs en donnent un bon prix."
"Vieux Vase";"https://www.pokemontrash.com/pokedex/images/items/relic-vase.png";"Un vase d’une civilisation
vieille de plus de 3 000 ans.
Les amateurs en donnent un bon prix."
"Vieux Bijou";"https://www.pokemontrash.com/pokedex/images/items/relic-band.png";"Un bijou d’une civilisation
vieille de plus de 3 000 ans.
Les amateurs en donnent un bon prix."
"Vieux Santon";"https://www.pokemontrash.com/pokedex/images/items/relic-statue.png";"Une statuette d’une civilisation
vieille de plus de 3 000 ans.
Les amateurs en donnent un bon prix."
"Perle";"https://www.pokemontrash.com/pokedex/images/items/pearl.png";"Une petite perle qui brille d’une jolie
couleur argent. Peut être vendue
à bas prix aux magasins."
"Gros Champi";"https://www.pokemontrash.com/pokedex/images/items/big-mushroom.png";"Un grand champignon plutôt rare.
Il est très populaire parmi
certains fans dévoués."
"Os Rare";"https://www.pokemontrash.com/pokedex/images/items/rare-bone.png";"Un os d’une grande valeur pour
l’archéologie Pokémon. Peut être
vendu à bon prix aux magasins."
"Pouss.Étoile";"https://www.pokemontrash.com/pokedex/images/items/stardust.png";"Sable rouge ravissant, aux grains très
fins. Peut être vendu à bon prix aux
magasins."
"Maxi Pépite";"https://www.pokemontrash.com/pokedex/images/items/big-nugget.png";"Grosse pépite d’or pur qui brille
magnifiquement.
Les amateurs en donnent un bon prix."
"Vieux Tortil";"https://www.pokemontrash.com/pokedex/images/items/relic-crown.png";"Une couronne d’une civilisation
vieille de plus de 3 000 ans.
Les amateurs en donnent un bon prix."
"Aile Force";"https://www.pokemontrash.com/pokedex/images/items/muscle-wing.png";"Objet à utiliser sur un Pokémon.
Il augmente un peu son Attaque
lors d’une montée de niveau."
"Protéine";"https://www.pokemontrash.com/pokedex/images/items/protein.png";"Une boisson très nutritive qui monte
l’Attaque de base d’un Pokémon."
"Fer";"https://www.pokemontrash.com/pokedex/images/items/iron.png";"Une boisson très nutritive qui monte
la Défense de base d’un Pokémon."
"Carbone";"https://www.pokemontrash.com/pokedex/images/items/carbos.png";"Une boisson très nutritive qui monte
la Vitesse de base d’un Pokémon."
"Calcium";"https://www.pokemontrash.com/pokedex/images/items/calcium.png";"Une boisson très nutritive qui
monte l’Attaque Spéciale de
base d’un Pokémon."
"Aile Sprint";"https://www.pokemontrash.com/pokedex/images/items/swift-wing.png";"Objet à utiliser sur un Pokémon.
Il augmente un peu sa Vitesse
lors d’une montée de niveau."
"PP Plus";"https://www.pokemontrash.com/pokedex/images/items/pp-up.png";"Monte un peu les PP max d’une
capacité sélectionnée."
"Zinc";"https://www.pokemontrash.com/pokedex/images/items/zinc.png";"Une boisson très nutritive qui monte
la Défense Spéciale d’un Pokémon."
"PP Max";"https://www.pokemontrash.com/pokedex/images/items/pp-max.png";"Monte sensiblement les PP max d’une
capacité sélectionnée."
"Pilule Talent";"https://www.pokemontrash.com/pokedex/images/items/ability-capsule.png";"Une capsule permettant à un Pokémon
pouvant avoir deux talents de changer
de l'un à l'autre."
"Aile Mental";"https://www.pokemontrash.com/pokedex/images/items/clever-wing.png";"Objet à utiliser sur un Pokémon.
Il augmente un peu sa Déf. Spé.
lors d’une montée de niveau."
"Aile Esprit";"https://www.pokemontrash.com/pokedex/images/items/genius-wing.png";"Objet à utiliser sur un Pokémon.
Il augmente un peu son Atq. Spé.
lors d’une montée de niveau."
"Aile Armure";"https://www.pokemontrash.com/pokedex/images/items/resist-wing.png";"Objet à utiliser sur un Pokémon.
Il augmente un peu sa Défense
lors d’une montée de niveau."
"PV Plus";"https://www.pokemontrash.com/pokedex/images/items/hp-up.png";"Une boisson très nutritive qui monte
les PV de base d’un Pokémon."
"Super Bonbon";"https://www.pokemontrash.com/pokedex/images/items/rare-candy.png";"Un bonbon plein d’énergie.
Il permet à un Pokémon de gagner
un niveau d’expérience."
"Aile Santé";"https://www.pokemontrash.com/pokedex/images/items/health-wing.png";"Objet à utiliser sur un Pokémon.
Il augmente un peu ses PV lors
d’une montée de niveau."
"Soda Cool";"https://www.pokemontrash.com/pokedex/images/items/soda-pop.png";"Une boisson pétillante.
Restaure 60 PV à un Pokémon."
"Eau Fraîche";"https://www.pokemontrash.com/pokedex/images/items/fresh-water.png";"Une eau riche en minéraux.
Restaure 50 PV à un Pokémon."
"Racinénergie";"https://www.pokemontrash.com/pokedex/images/items/energy-root.png";"Une racine très amère.
Restaure 200 PV à un Pokémon."
"Potion Max";"https://www.pokemontrash.com/pokedex/images/items/max-potion.png";"Un spray qui soigne les blessures.
Restaure tous les PV d’un Pokémon."
"Super Potion";"https://www.pokemontrash.com/pokedex/images/items/super-potion.png";"Un spray qui soigne les blessures.
Restaure 50 PV à un Pokémon."
"Hyper Potion";"https://www.pokemontrash.com/pokedex/images/items/hyper-potion.png";"Un spray qui soigne les blessures.
Restaure 200 PV à un Pokémon."
"Guérison";"https://www.pokemontrash.com/pokedex/images/items/full-restore.png";"Un médicament qui restaure tous les
PV d’un Pokémon et soigne tous ses
problèmes de statut."
"Chococœur";"https://www.pokemontrash.com/pokedex/images/items/sweet-heart.png";"Un chocolat extrêmement
sucré. Restaure 20 PV
à un Pokémon."
"Limonade";"https://www.pokemontrash.com/pokedex/images/items/lemonade.png";"Une boisson très sucrée.
Restaure 80 PV à un Pokémon."
"Lait Meumeu";"https://www.pokemontrash.com/pokedex/images/items/moomoo-milk.png";"Un lait très nourrissant.
Restaure 100 PV à un Pokémon."
"Jus de Baie";"https://www.pokemontrash.com/pokedex/images/items/berry-juice.png";"Une boisson 100% pur jus de Baies.
Restaure 20 PV à un Pokémon."
"Potion";"https://www.pokemontrash.com/pokedex/images/items/potion.png";"Un spray qui soigne les blessures.
Restaure 20 PV à un Pokémon."
"Poudrénergie";"https://www.pokemontrash.com/pokedex/images/items/energypowder.png";"Une poudre médicinale très amère.
Restaure 50 PV à un Pokémon."
"Huile";"https://www.pokemontrash.com/pokedex/images/items/ether.png";"Restaure jusqu’à 10 PP d’une
capacité sélectionnée."
"Max Élixir";"https://www.pokemontrash.com/pokedex/images/items/max-elixir.png";"Restaure tous les PP de toutes
les capacités d’un Pokémon."
"Élixir";"https://www.pokemontrash.com/pokedex/images/items/elixir.png";"Restaure 10 PP de toutes les
capacités d’un Pokémon."
"Huile Max";"https://www.pokemontrash.com/pokedex/images/items/max-ether.png";"Restaure tous les PP d’une capacité
sélectionnée."
"Rappel";"https://www.pokemontrash.com/pokedex/images/items/revive.png";"Un médicament qui ranime un Pokémon
K.O. et restaure la moitié de ses PV
max."
"Herbe Rappel";"https://www.pokemontrash.com/pokedex/images/items/revival-herb.png";"Une herbe médicinale très amère.
Ranime un Pokémon K.O. et restaure
tous ses PV."
"Cendresacrée";"https://www.pokemontrash.com/pokedex/images/items/sacred-ash.png";"Ranime tous les Pokémon K.O. et
restaure tous leurs PV."
"Rappel Max";"https://www.pokemontrash.com/pokedex/images/items/max-revive.png";"Un médicament qui ranime un Pokémon
K.O. et restaure tous ses PV."
"Galette Illumis";"https://www.pokemontrash.com/pokedex/images/items/lumiose-galette.png";"La spécialité d'Illumis. Elle soigne tous
les problèmes de statut d'un Pokémon."
"Total Soin";"https://www.pokemontrash.com/pokedex/images/items/full-heal.png";"Un médicament sous forme de spray.
Soigne tous les problèmes de statut
d’un Pokémon."
"Anti-Para";"https://www.pokemontrash.com/pokedex/images/items/paralyze-heal.png";"Un médicament sous forme de spray.
Soigne un Pokémon de la paralysie."
"Anti-Brûle";"https://www.pokemontrash.com/pokedex/images/items/burn-heal.png";"Un médicament sous forme de spray.
Soigne les brûlures d’un Pokémon."
"Poudre Soin";"https://www.pokemontrash.com/pokedex/images/items/heal-powder.png";"Une poudre médicinale très amère.
Soigne tous les problèmes de statut
d’un Pokémon."
"Glace Volute";"https://www.pokemontrash.com/pokedex/images/items/casteliacone.png";"Spécialité de Volucité. Elle
soigne tous les problèmes
de statut d’un Pokémon."
"Lava Cookie";"https://www.pokemontrash.com/pokedex/images/items/lava-cookie.png";"La spécialité de la ville de Vermilava.
Soigne tous les problèmes de statut
d’un Pokémon."
"Antigel";"https://www.pokemontrash.com/pokedex/images/items/ice-heal.png";"Un médicament sous forme de spray.
Réchauffe un Pokémon gelé."
"Vieux Gâteau";"https://www.pokemontrash.com/pokedex/images/items/old-gateau.png";"Spécialité du Vieux Château. Il
soigne tous les problèmes de
statut d’un Pokémon."
"Antidote";"https://www.pokemontrash.com/pokedex/images/items/antidote.png";"Un médicament sous forme de spray.
Guérit un Pokémon empoisonné."
"Réveil";"https://www.pokemontrash.com/pokedex/images/items/awakening.png";"Un médicament sous forme de spray.
Réveille un Pokémon endormi."
"Fertibondance";"https://www.pokemontrash.com/pokedex/images/items/rich-mulch.png";"Un engrais servant à faire pousser des Baies.
Il augmente le nombre de Baies récoltées
sans que le jardinier ait à s'occuper du plant."
"Fertistantané";"https://www.pokemontrash.com/pokedex/images/items/surprise-mulch.png";"Un engrais servant à faire pousser des Baies.
Il provoque des mutations soudaines en fonction
de la combinaison de Baies plantées."
"Fertibérance";"https://www.pokemontrash.com/pokedex/images/items/boost-mulch.png";"Un engrais servant à faire pousser des Baies.
Il augmente le nombre de Baies récoltées si
elles sont arrosées avec beaucoup d'eau."
"Fertiprodige";"https://www.pokemontrash.com/pokedex/images/items/amaze-mulch.png";"Un engrais servant à faire pousser des Baies.
Il cumule les effets des Fertibérance,
Fertibondance et Fertistantané."
"Fertiglu";"https://www.pokemontrash.com/pokedex/images/items/gooey-mulch.png";"Un engrais utilisé sur sol meuble.
Les amateurs en donnent un bon prix."
"Fertistable";"https://www.pokemontrash.com/pokedex/images/items/stable-mulch.png";"Un engrais utilisé sur sol meuble.
Les amateurs en donnent un bon prix."
"Fertihumide";"https://www.pokemontrash.com/pokedex/images/items/damp-mulch.png";"Un engrais utilisé sur sol meuble.
Les amateurs en donnent un bon prix."
"Fertipousse";"https://www.pokemontrash.com/pokedex/images/items/growth-mulch.png";"Un engrais utilisé sur sol meuble.
Les amateurs en donnent un bon prix."
"Rapide Ball";"https://www.pokemontrash.com/pokedex/images/items/quick-ball.png";"Une Poké Ball qui permet d’attraper un
Pokémon sauvage plus facilement si on
l’utilise au début du combat."
"Mémoire Ball";"https://www.pokemontrash.com/pokedex/images/items/cherish-ball.png";"Une Poké Ball plutôt rare qui fut créée
pour une occasion spéciale."
"Filet Ball";"https://www.pokemontrash.com/pokedex/images/items/net-ball.png";"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien
sur les Pokémon Eau ou Insecte."
"Rêve Ball";"https://www.pokemontrash.com/pokedex/images/items/dream-ball.png";"Poké Ball du rêve. Apparue dans le
Sac à la Forêt du Heylink. Permet
d’attraper n’importe quel Pokémon."
"Soin Ball";"https://www.pokemontrash.com/pokedex/images/items/heal-ball.png";"Une Poké Ball de soin qui rend tous les
PV du Pokémon attrapé et qui soigne
tous les changements de statut."
"Bis Ball";"https://www.pokemontrash.com/pokedex/images/items/repeat-ball.png";"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien sur
les espèces de Pokémon déjà capturées."
"Luxe Ball";"https://www.pokemontrash.com/pokedex/images/items/luxury-ball.png";"Une Poké Ball pratique qui permet
de gagner rapidement l’amitié d’un
Pokémon sauvage attrapé."
"Chrono Ball";"https://www.pokemontrash.com/pokedex/images/items/timer-ball.png";"Une Poké Ball un peu spéciale qui
fonctionne de mieux en mieux à
mesure que le combat s’éternise."
"Sombre Ball";"https://www.pokemontrash.com/pokedex/images/items/dusk-ball.png";"Une Poké Ball efficace pour attraper
les Pokémon de nuit ou dans des
endroits sombres tels que les grottes."
"Faiblo Ball";"https://www.pokemontrash.com/pokedex/images/items/nest-ball.png";"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien
sur les Pokémon les plus faibles."
"Scuba Ball";"https://www.pokemontrash.com/pokedex/images/items/dive-ball.png";"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien
sur les Pokémon sous-marins."
"Honor Ball";"https://www.pokemontrash.com/pokedex/images/items/premier-ball.png";"Une Poké Ball assez rare qui fut créée
pour un événement particulier."
"Super Ball";"https://www.pokemontrash.com/pokedex/images/items/great-ball.png";"Une Ball très performante dont le taux
de réussite est supérieur à celui de la
Poké Ball."
"Safari Ball";"https://www.pokemontrash.com/pokedex/images/items/safari-ball.png";"Une Poké Ball spéciale dont l’usage
est réservé au Parc Safari. Elle est
décorée d’un motif camouflage."
"Poké Ball";"https://www.pokemontrash.com/pokedex/images/items/poke-ball.png";"Un objet pareil à une capsule, qui
capture les Pokémon sauvages. Il suffit
pour cela de le jeter comme une balle."
"Hyper Ball";"https://www.pokemontrash.com/pokedex/images/items/ultra-ball.png";"Une Ball ultraperformante dont le taux
de réussite est supérieur à celui de la
Super Ball."
"Master Ball";"https://www.pokemontrash.com/pokedex/images/items/master-ball.png";"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un
Pokémon sauvage."
"Compét'Ball";"https://www.pokemontrash.com/pokedex/images/items/sport-ball.png";"Une Poké Ball spéciale utilisée au
Concours de Capture d’insecte."
"Parc Ball";"https://www.pokemontrash.com/pokedex/images/items/park-ball.png";"Une Poké Ball spéciale utilisée au
Parc des Amis."
"Scarhinoïte";"https://www.pokemontrash.com/pokedex/images/items/heracronite.png";"Une variété de Méga-Gemme.
Tenue par un Scarhino, elle lui permet de
méga-évoluer durant un combat."
"Pharampite";"https://www.pokemontrash.com/pokedex/images/items/ampharosite.png";"Une variété de Méga-Gemme.
Tenue par un Pharamp, elle lui permet de
méga-évoluer durant un combat."
"Tyranocivite";"https://www.pokemontrash.com/pokedex/images/items/tyranitarite.png";"Une variété de Méga-Gemme.
Tenue par un Tyranocif, elle lui permet de
méga-évoluer durant un combat."
"Branettite";"https://www.pokemontrash.com/pokedex/images/items/banettite.png";"Une variété de Méga-Gemme.
Tenue par un Branette, elle lui permet de
méga-évoluer durant un combat."
"Galekingite";"https://www.pokemontrash.com/pokedex/images/items/aggronite.png";"Une variété de Méga-Gemme.
Tenue par un Galeking, elle lui permet de
méga-évoluer durant un combat."
"Démolossite";"https://www.pokemontrash.com/pokedex/images/items/houndoominite.png";"Une variété de Méga-Gemme.
Tenue par un Démolosse, elle lui permet de
méga-évoluer durant un combat."
"Braségalite";"https://www.pokemontrash.com/pokedex/images/items/blazikenite.png";"Une variété de Méga-Gemme.
Tenue par un Braségali, elle lui permet de
méga-évoluer durant un combat."
"Charminite";"https://www.pokemontrash.com/pokedex/images/items/medichamite.png";"Une variété de Méga-Gemme.
Tenue par un Charmina, elle lui permet de
méga-évoluer durant un combat."
"Mewtwoïte Y";"https://www.pokemontrash.com/pokedex/images/items/mewtwonite-y.png";"Une variété de Méga-Gemme.
Tenue par un Mewtwo, elle lui permet de
méga-évoluer durant un combat."
"Mewtwoïte X";"https://www.pokemontrash.com/pokedex/images/items/mewtwonite-x.png";"Une variété de Méga-Gemme.
Tenue par un Mewtwo, elle lui permet de
méga-évoluer durant un combat."
"Tortankite";"https://www.pokemontrash.com/pokedex/images/items/blastoisinite.png";"Une variété de Méga-Gemme.
Tenue par un Tortank, elle lui permet de
méga-évoluer durant un combat."
"Dracaufite X";"https://www.pokemontrash.com/pokedex/images/items/charizardite-x.png";"Une variété de Méga-Gemme.
Tenue par un Dracaufeu, elle lui permet de
méga-évoluer durant un combat."
"Florizarrite";"https://www.pokemontrash.com/pokedex/images/items/venusaurite.png";"Une variété de Méga-Gemme.
Tenue par un Florizarre, elle lui permet de
méga-évoluer durant un combat."
"Cizayoxite";"https://www.pokemontrash.com/pokedex/images/items/scizorite.png";"Une variété de Méga-Gemme.
Tenue par un Cizayox, elle lui permet de
méga-évoluer durant un combat."
"Scarabruite";"https://www.pokemontrash.com/pokedex/images/items/pinsirite.png";"Une variété de Méga-Gemme.
Tenue par un Scarabrute, elle lui permet de
méga-évoluer durant un combat."
"Ptéraïte";"https://www.pokemontrash.com/pokedex/images/items/aerodactylite.png";"Une variété de Méga-Gemme.
Tenue par un Ptéra, elle lui permet de
méga-évoluer durant un combat."
"Mysdibulite";"https://www.pokemontrash.com/pokedex/images/items/mawilite.png";"Une variété de Méga-Gemme.
Tenue par un Mysdibule, elle lui permet de
méga-évoluer durant un combat."
"Élecsprintite";"https://www.pokemontrash.com/pokedex/images/items/manectite.png";"Une variété de Méga-Gemme.
Tenue par un Élecsprint, elle lui permet de
méga-évoluer durant un combat."
"Carchacrokite";"https://www.pokemontrash.com/pokedex/images/items/garchompite.png";"Une variété de Méga-Gemme.
Tenue par un Carchacrok, elle lui permet de
méga-évoluer durant un combat."
"Ectoplasmite";"https://www.pokemontrash.com/pokedex/images/items/gengarite.png";"Une variété de Méga-Gemme.
Tenue par un Ectoplasma, elle lui permet de
méga-évoluer durant un combat."
"Dracaufite Y";"https://www.pokemontrash.com/pokedex/images/items/charizardite-y.png";"Une variété de Méga-Gemme.
Tenue par un Dracaufeu, elle lui permet de
méga-évoluer durant un combat."
"Absolite";"https://www.pokemontrash.com/pokedex/images/items/absolite.png";"Une variété de Méga-Gemme.
Tenue par un Absol, elle lui permet de
méga-évoluer durant un combat."
"Alakazamite";"https://www.pokemontrash.com/pokedex/images/items/alakazite.png";"Une variété de Méga-Gemme.
Tenue par un Alakazam, elle lui permet de
méga-évoluer durant un combat."
"Léviatorite";"https://www.pokemontrash.com/pokedex/images/items/gyaradosite.png";"Une variété de Méga-Gemme.
Tenue par un Léviator, elle lui permet de
méga-évoluer durant un combat."
"Kangourexite";"https://www.pokemontrash.com/pokedex/images/items/kangaskhanite.png";"Une variété de Méga-Gemme.
Tenue par un Kangourex, elle lui permet de
méga-évoluer durant un combat."
"Gardevoirite";"https://www.pokemontrash.com/pokedex/images/items/gardevoirite.png";"Une variété de Méga-Gemme.
Tenue par un Gardevoir, elle lui permet de
méga-évoluer durant un combat."
"Blizzarite";"https://www.pokemontrash.com/pokedex/images/items/abomasite.png";"Une variété de Méga-Gemme.
Tenue par un Blizzaroi, elle lui permet de
méga-évoluer durant un combat."
"Lucarite";"https://www.pokemontrash.com/pokedex/images/items/lucarionite.png";"Une variété de Méga-Gemme.
Tenue par un Lucario, elle lui permet de
méga-évoluer durant un combat."
"Bibelot Bizarre";"https://www.pokemontrash.com/pokedex/images/items/strange-souvenir.png";"Un ornement bizarre à l'image d'un Pokémon
vénéré comme protecteur dans une région
éloignée de Kalos."
"Bon de Réduction";"https://www.pokemontrash.com/pokedex/images/items/bargain-ticket.png";"Un ticket donnant droit à une réduction
dans les boutiques de vêtements."
